SUBJECT;LABEL;DICE;SSIM
117122;Amygdala;0.0;0.9988682668588307
117122;GreyMatter;0.5427001080221084;0.7948412072429633
117122;Hippocampus;0.07547510611670903;0.9600466897202498
117122;Thalamus;0.0;0.9960039903370967
117122;WhiteMatter;0.6319829102557735;0.8574313969373978
117122-PP;Amygdala;0.0;0.9988682668588307
117122-PP;GreyMatter;0.5492394273573452;0.8008872185791756
117122-PP;Hippocampus;0.07547286661677806;0.9600590572675973
117122-PP;Thalamus;0.0;0.9960039903370967
117122-PP;WhiteMatter;0.6285635056126859;0.8601572299965237
118528;Amygdala;0.0;0.9988377087907648
118528;GreyMatter;0.5240651480301797;0.8115533127243021
118528;Hippocampus;0.15322520921276753;0.9810748460505493
118528;Thalamus;0.18054146673421573;0.9662696563756451
118528;WhiteMatter;0.6258347276050645;0.8233466805232702
118528-PP;Amygdala;0.0;0.9988377087907648
118528-PP;GreyMatter;0.47172481684393025;0.8051985290754227
118528-PP;Hippocampus;0.15365167494949744;0.9813208755226429
118528-PP;Thalamus;0.1805973680182207;0.9662815293962478
118528-PP;WhiteMatter;0.5881006756452305;0.8189036631317536
118730;Amygdala;0.0;0.9988412354550171
118730;GreyMatter;0.6364446215560999;0.8221199403040634
118730;Hippocampus;0.12355045977453734;0.9726974479977728
118730;Thalamus;0.23450900384597353;0.9737637469348499
118730;WhiteMatter;0.7481755553266347;0.8668033216734069
118730-PP;Amygdala;0.0;0.9988412354550171
118730-PP;GreyMatter;0.6190240013631606;0.8202945160763571
118730-PP;Hippocampus;0.12444637496800416;0.97293117750842
118730-PP;Thalamus;0.23435318630583293;0.9737976301025141
118730-PP;WhiteMatter;0.6996131746418449;0.8591479759112799
118932;Amygdala;0.0;0.9988932239432133
118932;GreyMatter;0.6068025520477864;0.8033936160076454
118932;Hippocampus;0.1366777912868928;0.9709327362914947
118932;Thalamus;0.17898501016775786;0.9764579744578453
118932;WhiteMatter;0.7708550563771382;0.8728767876776241
118932-PP;Amygdala;0.0;0.9988932239432133
118932-PP;GreyMatter;0.6124382000900269;0.8078067495157009
118932-PP;Hippocampus;0.13724108547456737;0.9712082953508995
118932-PP;Thalamus;0.1732336581566634;0.9765224656101388
118932-PP;WhiteMatter;0.7482677826144407;0.8705596098098632
120111;Amygdala;0.0;0.9986922678930376
120111;GreyMatter;0.6268570694106946;0.8292228314507792
120111;Hippocampus;0.1534996164936843;0.977257481204114
120111;Thalamus;0.22990022237102067;0.9742942488201033
120111;WhiteMatter;0.8095593624056089;0.8886122545064259
120111-PP;Amygdala;0.0;0.9986922678930376
120111-PP;GreyMatter;0.6233380017413478;0.8307820728904024
120111-PP;Hippocampus;0.15412665139180032;0.9774352874839154
120111-PP;Thalamus;0.22957210676895023;0.9743024484324211
120111-PP;WhiteMatter;0.7799416908312731;0.8819185197032221
122317;Amygdala;0.0;0.9988245988640875
122317;GreyMatter;0.614223078762808;0.8336197974873554
122317;Hippocampus;0.1430457307960546;0.9790619107996462
122317;Thalamus;0.1930816488887588;0.9693029069112963
122317;WhiteMatter;0.7173694656288241;0.8571122900585398
122317-PP;Amygdala;0.0;0.9988245988640875
122317-PP;GreyMatter;0.5896729794613621;0.8291344182890575
122317-PP;Hippocampus;0.14459621073833953;0.9794270560940044
122317-PP;Thalamus;0.19318470718679162;0.9693148677123018
122317-PP;WhiteMatter;0.6835489463519842;0.851198908933826
122620;Amygdala;0.0;0.99874968528988
122620;GreyMatter;0.541815536803393;0.7792395448083045
122620;Hippocampus;0.07733473399864936;0.9584926614787121
122620;Thalamus;0.05757795503988397;0.9927739396684789
122620;WhiteMatter;0.5870228100078821;0.8502408551358945
122620-PP;Amygdala;0.0;0.99874968528988
122620-PP;GreyMatter;0.5481867837504726;0.7856253963599399
122620-PP;Hippocampus;0.07762947787050707;0.9585784718039696
122620-PP;Thalamus;0.053225061576354676;0.993304074214703
122620-PP;WhiteMatter;0.5902926509766417;0.8549482241877334
123117;Amygdala;0.0;0.9988073453448915
123117;GreyMatter;0.5269905087280157;0.7776994900491868
123117;Hippocampus;0.07172478325901877;0.9619420749389526
123117;Thalamus;0.0;0.9958628004569218
123117;WhiteMatter;0.6201520249993223;0.8400836197667948
123117-PP;Amygdala;0.0;0.9988073453448915
123117-PP;GreyMatter;0.5389063154380672;0.7922266899447681
123117-PP;Hippocampus;0.07180499022325057;0.9619670115230291
123117-PP;Thalamus;0.0;0.9959070020751329
123117-PP;WhiteMatter;0.6410352470536099;0.8531323633882042
123925;Amygdala;0.0;0.9987931770096425
123925;GreyMatter;0.5485801263153876;0.7974393088987362
123925;Hippocampus;0.14424821794978235;0.968813116457031
123925;Thalamus;0.25806183898625973;0.9815567430997217
123925;WhiteMatter;0.7275968728099218;0.8691096282935149
123925-PP;Amygdala;0.0;0.9987931770096425
123925-PP;GreyMatter;0.5567684744418507;0.8028916575990416
123925-PP;Hippocampus;0.14479880455554828;0.96894675945422
123925-PP;Thalamus;0.2539284948570054;0.9817217379314886
123925-PP;WhiteMatter;0.7299987198486384;0.8724547931216258
124422;Amygdala;0.0;0.9987393293286952
124422;GreyMatter;0.5263026629008151;0.7853543568827888
124422;Hippocampus;0.08547841265975074;0.9629060648952575
124422;Thalamus;0.104355437629504;0.9905010508924641
124422;WhiteMatter;0.5954429317066834;0.8576851804845259
124422-PP;Amygdala;0.0;0.9987393293286952
124422-PP;GreyMatter;0.5329487408575122;0.78974235306854
124422-PP;Hippocampus;0.08562428831280224;0.9629232625047738
124422-PP;Thalamus;0.09390319288106841;0.9909246210279747
124422-PP;WhiteMatter;0.6076656005663067;0.8610738816115209
